??:??:??  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:52  L -> UBX CFG,  Size   8,  'Config'
00:12:53  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:12:53  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:12:53  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:12:53  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:12:53  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:53  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
00:12:53  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:53  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:12:53  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:12:53  L -> UBX CFG,  Size   8,  'Config'
00:12:54  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:12:54  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:12:54  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:12:54  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:12:54  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:54  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:12:54  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:54  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:12:54  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:12:54  L -> UBX CFG,  Size   8,  'Config'
00:12:55  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:12:55  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:12:55  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:12:55  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
